date,ipca_delta_mean_last_3,selic_delta_mean_last_3,cambio_delta_mean_last_3
23-02,,,
23-03,,,
23-04,,,
23-05,0.4,-1.83,0.0
23-06,-0.57,0.08,-0.3
23-07,-1.83,-0.83,-0.05
23-08,-1.33,-1.17,-0.3
23-09,-0.57,-0.83,-0.15
23-10,-0.07,-0.17,-0.1
23-11,0.0,0.0,0.0
23-12,0.2,0.0,-0.05
24-01,-0.27,-1.0,-0.13
24-02,-0.2,-0.67,-0.08
24-03,-0.33,-0.33,-0.03
24-04,-0.13,0.0,0.0
24-05,0.13,1.0,0.3
24-06,0.13,1.17,0.2
24-07,0.67,0.67,0.5
24-08,0.4,0.17,0.27
24-09,-0.1,1.5,0.13
24-10,-0.1,1.0,0.0
24-11,0.57,0.75,0.1
24-12,0.93,1.17,0.42
25-01,1.43,3.0,0.62
25-02,0.77,1.83,0.35
25-03,0.2,0.75,-0.08
